"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#Caesar_JC,""#Cassius_JC"",0.18731409744364,106,""The clock hath stricken three."",""Yet if my name were liable to fear, I do not know the man I should avoid So soon as that spare Cassius.""";;
"#Caesar_JC,""#Cassius_JC"",0.1934636942442,110,""The morning comes upon 's."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Cassius_JC"",0.194479483947653,82,""And I do know by this they stay for me In Pompey's Porch."",""What sayst thou to me now?""";;
"#Caesar_JC,""#Cassius_JC"",0.204958240019941,15,""Then must I think you would not have it so."",""Set on and leave no ceremony out.""";;
"#Caesar_JC,""#Cassius_JC"",0.208583808913385,60,""Those that have known the Earth so full of faults."",""Such men as he be never at heart's ease Whiles they behold a greater than themselves, And therefore are they very dangerous.""";;
"#Caesar_JC,""#Cassius_JC"",0.219218137978127,86,""No, it is Casca, one incorporate To our attempts."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Cassius_JC"",0.22989630682668,14,""Ay, do you fear it?"",""I hear a tongue shriller than all the music Cry ""Caesar."" Speak.""";;
"#Caesar_JC,""#Cassius_JC"",0.241177712699065,92,""That done, repair to Pompey's Theater."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Cassius_JC"",0.243769448357746,37,""When went there by an age, since the great flood, But it was famed with more than with one man?"",""Forget not in your speed, Antonius, To touch Calphurnia, for our elders say The barren, touchèd in this holy chase, Shake off their sterile curse.""";;
"#Caesar_JC,""#Cassius_JC"",0.245790299719762,18,""I cannot tell what you and other men Think of this life";" but, for my single self, I had as lief not be as live to be In awe of such a thing as I myself."",""What sayst thou to me now?""";
"#Caesar_JC,""#Brutus_JC"",0.115595219094859,101,""It is not for your health thus to commit Your weak condition to the raw cold morning."",""Let me have men about me that are fat, Sleek-headed men, and such as sleep a-nights.""";;
"#Caesar_JC,""#Brutus_JC"",0.190387034352279,111,""Would you were not sick!"",""Let me have men about me that are fat, Sleek-headed men, and such as sleep a-nights.""";;
"#Caesar_JC,""#Brutus_JC"",0.201063511212562,55,""Such instigations have been often dropped Where I have took them up."",""I rather tell thee what is to be feared Than what I fear";" for always I am Caesar.""";
"#Caesar_JC,""#Brutus_JC"",0.205026372466853,98,""Enjoy the honey-heavy dew of slumber."",""Let me have men about me that are fat, Sleek-headed men, and such as sleep a-nights.""";;
"#Caesar_JC,""#Brutus_JC"",0.210419918238748,103,""Good Portia, go to bed."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Brutus_JC"",0.215444178197486,140,""Or else were this a savage spectacle."",""The things that threatened me Ne'er looked but on my back.""";;
"#Caesar_JC,""#Brutus_JC"",0.216230421598511,60,""Go to the gate";" somebody knocks."",""Set on and leave no ceremony out.""";
"#Caesar_JC,""#Brutus_JC"",0.221211751669183,91,""By the eighth hour, is that the uttermost?"",""What sayst thou to me now?""";;
"#Caesar_JC,""#Brutus_JC"",0.230073404392948,53,""Look in the calendar, and bring me word."",""I hear a tongue shriller than all the music Cry ""Caesar."" Speak.""";;
"#Caesar_JC,""#Brutus_JC"",0.230566191218577,62,""Between the acting of a dreadful thing And the first motion, all the interim is Like a phantasma or a hideous dream."",""He loves no plays, As thou dost, Antony"; he hears no music;" Seldom he smiles, and smiles in such a sort As if he mocked himself and scorned his spirit That could be moved to smile at anything."""
"#Caesar_JC,""#Portia_JC"",0.181396618448473,18,""If this were true, then should I know this secret."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Portia_JC"",0.18942396410968,24,""Can I bear that with patience, And not my husband's secrets?"",""Yet if my name were liable to fear, I do not know the man I should avoid So soon as that spare Cassius.""";;
"#Caesar_JC,""#Portia_JC"",0.207277926778522,22,""Tell me your counsels";" I will not disclose 'em."",""I rather tell thee what is to be feared Than what I fear";" for always I am Caesar."""
"#Caesar_JC,""#Portia_JC"",0.207927978956542,23,""I have made strong proof of my constancy, Giving myself a voluntary wound Here, in the thigh."",""Let me see his face.""";;
"#Caesar_JC,""#Portia_JC"",0.210528674643075,9,""And is it physical To walk unbracèd and suck up the humors Of the dank morning?"",""Let me have men about me that are fat, Sleek-headed men, and such as sleep a-nights.""";;
"#Caesar_JC,""#Portia_JC"",0.213525105952803,4,""Yet I insisted";" yet you answered not, But with an angry wafture of your hand Gave sign for me to leave you."",""What sayst thou to me now?""";
"#Caesar_JC,""#Portia_JC"",0.214884627223494,30,""How hard it is for women to keep counsel!"",""And these does she apply for warnings and portents And evils imminent, and on her knee Hath begged that I will stay at home today.""";;
"#Caesar_JC,""#Portia_JC"",0.235492784757406,7,""Dear my lord, Make me acquainted with your cause of grief."",""Yet if my name were liable to fear, I do not know the man I should avoid So soon as that spare Cassius.""";;
"#Caesar_JC,""#Portia_JC"",0.242380506812863,3,""I urged you further";" then you scratched your head And too impatiently stamped with your foot."",""Stand you directly in Antonius' way When he doth run his course.""";
"#Caesar_JC,""#Portia_JC"",0.258377553402926,20,""I grant I am a woman, but withal A woman well-reputed, Cato's daughter."",""Let me have men about me that are fat, Sleek-headed men, and such as sleep a-nights.""";;
"#Caesar_JC,""#Casca_JC"",0.196908784265573,50,""Here, as I point my sword, the sun arises, Which is a great way growing on the south, Weighing the youthful season of the year."",""Forget not in your speed, Antonius, To touch Calphurnia, for our elders say The barren, touchèd in this holy chase, Shake off their sterile curse.""";;
"#Caesar_JC,""#Casca_JC"",0.203701177931255,51,""Some two months hence, up higher toward the north He first presents his fire, and the high east Stands, as the Capitol, directly here."",""Stand you directly in Antonius' way When he doth run his course.""";;
"#Caesar_JC,""#Casca_JC"",0.221591203379989,1,""Bid every noise be still."",""Set on and leave no ceremony out.""";;
"#Caesar_JC,""#Casca_JC"",0.225869432400758,8,""It was mere foolery";" I did not mark it."",""What sayst thou to me now?""";
"#Caesar_JC,""#Casca_JC"",0.253436946971459,39,""Who ever knew the heavens menace so?"",""I hear a tongue shriller than all the music Cry ""Caesar."" Speak.""";;
"#Caesar_JC,""#Casca_JC"",0.265753451505723,49,""You shall confess that you are both deceived."",""I rather tell thee what is to be feared Than what I fear";" for always I am Caesar.""";
"#Caesar_JC,""#Casca_JC"",0.269172763619211,26,""There was more foolery yet, if I could remember it."",""I rather tell thee what is to be feared Than what I fear";" for always I am Caesar.""";
"#Caesar_JC,""#Casca_JC"",0.270203517275365,4,""Why, you were with him, were you not?"",""But I fear him not.""";;
"#Caesar_JC,""#Casca_JC"",0.276616514129911,35,""And yesterday the bird of night did sit Even at noonday upon the marketplace, Hooting and shrieking."",""He loves no plays, As thou dost, Antony"; he hears no music;" Seldom he smiles, and smiles in such a sort As if he mocked himself and scorned his spirit That could be moved to smile at anything."""
"#Caesar_JC,""#Casca_JC"",0.287755443725762,11,""And then he offered it the third time."",""But I fear him not.""";;
"#Caesar_JC,""#Antony_JC"",0.239520268807976,38,""Post back with speed and tell him what hath chanced."",""Let me see his face.""";;
"#Caesar_JC,""#Antony_JC"",0.301918630523963,11,""I doubt not of your wisdom."",""I thank you for your pains and courtesy.""";;
"#Caesar_JC,""#Antony_JC"",0.308449673611272,29,""I do desire no more."",""But for your private satisfaction, Because I love you, I will let you know.""";;
"#Caesar_JC,""#Antony_JC"",0.318638248724811,9,""I do beseech you, if you bear me hard, Now, whilst your purpled hands do reek and smoke, Fulfill your pleasure."",""But for your private satisfaction, Because I love you, I will let you know.""";;
"#Caesar_JC,""#Antony_JC"",0.326785459842293,32,""Woe to the hand that shed this costly blood!"",""The cause is in my will.""";;
"#Caesar_JC,""#Antony_JC"",0.340201989023974,40,""Hie hence and tell him so."",""Let me see his face.""";;
"#Caesar_JC,""#Antony_JC"",0.340311489703178,17,""My credit now stands on such slippery ground That one of two bad ways you must conceit me, Either a coward or a flatterer."",""I am ashamèd I did yield to them.""";;
"#Caesar_JC,""#Antony_JC"",0.352037428453713,20,""- in the presence of thy corpse?"",""When they shall see The face of Caesar, they are vanishèd.""";;
"#Caesar_JC,""#Antony_JC"",0.361794209509084,1,""When Caesar says ""Do this,"" it is performed."",""Stand you directly in Antonius' way When he doth run his course.""";;
"#Caesar_JC,""#Antony_JC"",0.371017615317457,6,""Are all thy conquests, glories, triumphs, spoils Shrunk to this little measure?"",""Have I in conquest stretched mine arm so far, To be afeard to tell graybeards the truth?""";;
