"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;;;
"#Cassius_JC,""#Brutus_JC"",0.662052048362458,348,""Hold, then, my sword, and turn away thy face While I do run upon it."",""If this be known, Cassius or Caesar never shall turn back, For I will slay myself.""";;;;
"#Cassius_JC,""#Brutus_JC"",0.662052048362458,349,""I killed not thee with half so good a will."",""If this be known, Cassius or Caesar never shall turn back, For I will slay myself.""";;;;
"#Cassius_JC,""#Brutus_JC"",0.666743405016765,141,""Our reasons are so full of good regard That were you, Antony, the son of Caesar, You should be satisfied."",""We shall find of him A shrewd contriver"; and, you know, his means, If he improve them, may well stretch so far As to annoy us all;" which to prevent, Let Antony and Caesar fall together.""";;
"#Cassius_JC,""#Brutus_JC"",0.678137827080673,116,""Look how he makes to Caesar."",""And this man Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.""";;;;
"#Cassius_JC,""#Brutus_JC"",0.686824411151197,59,""O Rome, I make thee promise, If the redress will follow, thou receivest Thy full petition at the hand of Brutus."",""Well, Brutus, thou art noble.""";;;;
"#Cassius_JC,""#Brutus_JC"",0.698165846635886,20,""Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us."",""O, you and I have heard our fathers say There was a Brutus once that would have brooked Th' eternal devil to keep his state in Rome As easily as a king.""";;;;
"#Cassius_JC,""#Brutus_JC"",0.709391497430396,87,""And for Mark Antony, think not of him, For he can do no more than Caesar's arm When Caesar's head is off."",""I think it is not meet Mark Antony, so well beloved of Caesar, Should outlive Caesar.""";;;;
"#Cassius_JC,""#Brutus_JC"",0.713048872546182,145,""Mark Antony, here, take you Caesar's body."",""I think it is not meet Mark Antony, so well beloved of Caesar, Should outlive Caesar.""";;;;
"#Cassius_JC,""#Brutus_JC"",0.717706533101422,115,""That every like is not the same, O Caesar, The heart of Brutus earns to think upon."",""Caesar doth bear me hard, but he loves Brutus.""";;;;
"#Cassius_JC,""#Brutus_JC"",0.719627054983687,46,""And, to speak truth of Caesar, I have not known when his affections swayed More than his reason."",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Portia_JC"",0.588111195616383,1,""You've ungently, Brutus, Stole from my bed."",""And be not jealous on me, gentle Brutus.""";;;;
"#Cassius_JC,""#Portia_JC"",0.602056309691047,19,""I grant I am a woman, but withal A woman that Lord Brutus took to wife."",""Well, Brutus, thou art noble.""";;;;
"#Cassius_JC,""#Portia_JC"",0.603724753839929,40,""O Brutus, The heavens speed thee in thine enterprise!"",""Well, Brutus, thou art noble.""";;;;
"#Cassius_JC,""#Portia_JC"",0.605792361268319,32,""And take good note What Caesar doth, what suitors press to him."",""Caesar doth bear me hard, but he loves Brutus.""";;;;
"#Cassius_JC,""#Portia_JC"",0.622900047454147,37,""Thou hast some suit to Caesar, hast thou not?"",""Well, Brutus, thou art noble.""";;;;
"#Cassius_JC,""#Portia_JC"",0.637046395164177,36,""Is Caesar yet gone to the Capitol?"",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Portia_JC"",0.661424390305496,8,""Brutus is wise and, were he not in health, He would embrace the means to come by it."",""Therefore, good Brutus, be prepared to hear.""";;;;
"#Cassius_JC,""#Portia_JC"",0.676484963145358,13,""I should not need, if you were gentle Brutus."",""Therefore, good Brutus, be prepared to hear.""";;;;
"#Cassius_JC,""#Portia_JC"",0.681206646479831,11,""No, my Brutus, You have some sick offense within your mind, Which by the right and virtue of my place I ought to know of."",""I know that virtue to be in you, Brutus, As well as I do know your outward favor.""";;;;
"#Cassius_JC,""#Portia_JC"",0.700570193825485,42,""Brutus hath a suit That Caesar will not grant."",""Caesar doth bear me hard, but he loves Brutus.""";;;;
"#Cassius_JC,""#Casca_JC"",0.541374879849182,48,""O, he sits high in all the people's hearts, And that which would appear offense in us His countenance, like richest alchemy, Will change to virtue and to worthiness."",""So is he now in execution Of any bold or noble enterprise, However he puts on this tardy form.""";;;;
"#Cassius_JC,""#Casca_JC"",0.567514814258925,38,""Cassius, what night is this!"",""And this man Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.""";;;;
"#Cassius_JC,""#Casca_JC"",0.577960418792506,21,""But there's no heed to be taken of them";" if Caesar had stabbed their mothers, they would have done no less."",""""Brutus"" and ""Caesar"" - what should be in that ""Caesar""?""";;;
"#Cassius_JC,""#Casca_JC"",0.584093382958424,12,""He put it the third time by, and still as he refused it the rabblement hooted and clapped their chopped hands and threw up their sweaty nightcaps and uttered such a deal of stinking breath because Caesar refused the crown that it had almost choked Caesar, for he swooned and fell down at it."",""And this man Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.""";;;;
"#Cassius_JC,""#Casca_JC"",0.612106293151959,43,""Indeed, they say the Senators tomorrow Mean to establish Caesar as a king, And he shall wear his crown by sea and land In every place save here in Italy."",""I will this night In several hands in at his windows throw, As if they came from several citizens, Writings, all tending to the great opinion That Rome holds of his name, wherein obscurely Caesar's ambition shall be glancèd at And after this, let Caesar seat him sure, For we will shake him, or worse days endure.""";;;;
"#Cassius_JC,""#Casca_JC"",0.627385153271263,45,""You speak to Casca, and to such a man That is no fleering telltale."",""Casca will tell us what the matter is.""";;;;
"#Cassius_JC,""#Casca_JC"",0.634357595662304,54,""Go to the pulpit, Brutus."",""Therefore, good Brutus, be prepared to hear.""";;;;
"#Cassius_JC,""#Casca_JC"",0.67835597070885,9,""I saw Mark Antony offer him a crown (yet 'twas not a crown neither"; 'twas one of these coronets), and, as I told you, he put it by once;" but for all that, to my thinking, he would fain have had it."",""Who offered him the crown?""";;
"#Cassius_JC,""#Casca_JC"",0.737573723742823,15,""I know not what you mean by that, but I am sure Caesar fell down."",""No, Caesar hath it not";" but you and I And honest Casca, we have the falling sickness.""";;;
"#Cassius_JC,""#Casca_JC"",0.759261475459696,42,""'Tis Caesar that you mean, is it not, Cassius?"",""And this man Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.""";;;;
"#Cassius_JC,""#Antony_JC"",0.570709313426131,5,""O mighty Caesar, dost thou lie so low?"",""If this be known, Cassius or Caesar never shall turn back, For I will slay myself.""";;;;
"#Cassius_JC,""#Antony_JC"",0.594641920814152,35,""Caesar did write for him to come to Rome."",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Antony_JC"",0.600506271836487,19,""If then thy spirit look upon us now, Shall it not grieve thee dearer than thy death To see thy Antony making his peace, Shaking the bloody fingers of thy foes -  Most noble!"",""We shall find of him A shrewd contriver"; and, you know, his means, If he improve them, may well stretch so far As to annoy us all;" which to prevent, Let Antony and Caesar fall together.""";;
"#Cassius_JC,""#Antony_JC"",0.613587339020795,27,""Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Antony_JC"",0.619390291977545,26,""Therefore I took your hands, but was indeed Swayed from the point by looking down on Caesar."",""I blame you not for praising Caesar so.""";;;;
"#Cassius_JC,""#Antony_JC"",0.62256334702467,3,""He is a noble Roman, and well given."",""I have heard Where many of the best respect in Rome, Except immortal Caesar, speaking of Brutus And groaning underneath this age's yoke, Have wished that noble Brutus had his eyes.""";;;;
"#Cassius_JC,""#Antony_JC"",0.631992830255625,2,""Fear him not, Caesar";" he's not dangerous."",""""Brutus"" and ""Caesar"" - what should be in that ""Caesar""?""";;;
"#Cassius_JC,""#Antony_JC"",0.638661265306164,15,""-  Now, Decius Brutus, yours"; - now yours, Metellus; -  Yours, Cinna; - and, my valiant Casca, yours;" -  Though last, not least in love, yours, good Trebonius."",""Is Decius Brutus and Trebonius there?"""
"#Cassius_JC,""#Antony_JC"",0.656100880994598,13,""First, Marcus Brutus, will I shake with you."",""Therefore, good Brutus, be prepared to hear.""";;;;
"#Cassius_JC,""#Antony_JC"",0.75310866753382,4,""So to most noble Caesar."",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Caesar_JC"",0.618783205452768,31,""And Caesar shall go forth."",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Caesar_JC"",0.622528790496144,15,""Such men as he be never at heart's ease Whiles they behold a greater than themselves, And therefore are they very dangerous."",""Men at some time are masters of their fates.""";;;;
"#Cassius_JC,""#Caesar_JC"",0.63645979946864,52,""- Caius Ligarius, Caesar was ne'er so much your enemy As that same ague which hath made you lean."",""And this man Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.""";;;;
"#Cassius_JC,""#Caesar_JC"",0.63646556178504,24,""Yet Caesar shall go forth, for these predictions Are to the world in general as to Caesar."",""But it is doubtful yet Whether Caesar will come forth today or no, For he is superstitious grown of late, Quite from the main opinion he held once Of fantasy, of dreams, and ceremonies.""";;;;
"#Cassius_JC,""#Caesar_JC"",0.641803621385941,62,""What is now amiss That Caesar and his Senate must redress?"",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Caesar_JC"",0.64398794553313,28,""Caesar should be a beast without a heart If he should stay at home today for fear."",""Yet I fear him, For in the engrafted love he bears to Caesar -""";;;;
"#Cassius_JC,""#Caesar_JC"",0.672233904350846,37,""Shall Caesar send a lie?"",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Caesar_JC"",0.688482849981554,68,""Know: Caesar doth not wrong, nor without cause Will he be satisfied."",""And why should Caesar be a tyrant, then?""";;;;
"#Cassius_JC,""#Caesar_JC"",0.722187147038962,33,""Here's Decius Brutus";" he shall tell them so."",""Is Decius Brutus and Trebonius there?""";;;
"#Cassius_JC,""#Caesar_JC"",0.731550803137728,51,""-  What, Brutus, are you stirred so early too?"",""Brutus, I do observe you now of late.""";;;;
